meaning,kana
hộ chiếu,パスポート
châu Á,アジア
cửa,ドア
Thái Lan,タイ
đăng nhập,サイン
gas,ガス
giáo trình,テキスト
vòng cổ,ネクタイ
nhảy múa,ダンス
kích thước,サイズ
điều hòa,エアコン
hướng dẫn viên,ガイド
kĩ sư,エンジニア
Ấn Độ,インド
kiểm tra,テスト
ý tưởng,アイデア
dao,ナイフ
khách sạn,ホテル
quần dài,ズボン
bia,ビール
đài radio,ラヂオ
nhà vệ sinh,トイレ
căn hộ,デパート
thể thao,スポーツ
tòa nhà/công trình,ビル
đàn guitar,ギター
taxi,タクシー
trượt tuyết,スキー
quyển sổ,ノート
bánh,ケーキ
áo khoác,コート
nước sốt,ソース
khóa học,コース
hẹn hò,デート
thành viên,メンバー
Malaysia,マレーシア
bắt đầu,スタート
buổi hòa nhạc,コンサート
bút bi,ボールペン
